ts,value
2001-05-24 00:00:00,22.5
2001-05-24 00:15:00,22.65
2001-05-24 00:30:00,22.8
2001-05-24 00:45:00,22.95
2001-05-24 01:00:00,23.1
2001-05-24 01:15:00,23.025000000000002
2001-05-24 01:30:00,22.950000000000003
2001-05-24 01:45:00,22.875
2001-05-24 02:00:00,22.8
2001-05-24 02:15:00,23.1
2001-05-24 02:30:00,23.4
2001-05-24 02:45:00,23.7
2001-05-24 03:00:00,24.0
2001-05-24 03:15:00,24.075
2001-05-24 03:30:00,24.15
2001-05-24 03:45:00,24.225
2001-05-24 04:00:00,24.3
2001-05-24 04:15:00,24.425
2001-05-24 04:30:00,24.55
2001-05-24 04:45:00,24.675
2001-05-24 05:00:00,24.8
2001-05-24 05:15:00,24.9
2001-05-24 05:30:00,25.0
2001-05-24 05:45:00,25.1
2001-05-24 06:00:00,25.2
2001-05-24 06:15:00,25.275
2001-05-24 06:30:00,25.35
2001-05-24 06:45:00,25.425
2001-05-24 07:00:00,25.5
2001-05-24 07:15:00,25.625
2001-05-24 07:30:00,25.75
2001-05-24 07:45:00,25.875
2001-05-24 08:00:00,26.0
2001-05-24 08:15:00,26.1
2001-05-24 08:30:00,26.2
2001-05-24 08:45:00,26.299999999999997
2001-05-24 09:00:00,26.4
2001-05-24 09:15:00,26.5
2001-05-24 09:30:00,26.6
2001-05-24 09:45:00,26.7
2001-05-24 10:00:00,26.8
2001-05-24 10:15:00,26.85
2001-05-24 10:30:00,26.9
2001-05-24 10:45:00,26.95
2001-05-24 11:00:00,27.0
2001-05-24 11:15:00,27.075
2001-05-24 11:30:00,27.15
2001-05-24 11:45:00,27.225
2001-05-24 12:00:00,27.3
2001-05-24 12:15:00,27.25
2001-05-24 12:30:00,27.200000000000003
2001-05-24 12:45:00,27.150000000000002
2001-05-24 13:00:00,27.1
2001-05-24 13:15:00,27.05
2001-05-24 13:30:00,27.0
2001-05-24 13:45:00,26.95
2001-05-24 14:00:00,26.9
2001-05-24 14:15:00,26.799999999999997
2001-05-24 14:30:00,26.7
2001-05-24 14:45:00,26.6
2001-05-24 15:00:00,26.5
2001-05-24 15:15:00,26.4
2001-05-24 15:30:00,26.3
2001-05-24 15:45:00,26.200000000000003
2001-05-24 16:00:00,26.1
2001-05-24 16:15:00,26.025000000000002
2001-05-24 16:30:00,25.950000000000003
2001-05-24 16:45:00,25.875
2001-05-24 17:00:00,25.8
2001-05-24 17:15:00,25.675
2001-05-24 17:30:00,25.55
2001-05-24 17:45:00,25.425
2001-05-24 18:00:00,25.3
2001-05-24 18:15:00,25.2
2001-05-24 18:30:00,25.1
2001-05-24 18:45:00,25.0
2001-05-24 19:00:00,24.9
2001-05-24 19:15:00,24.775
2001-05-24 19:30:00,24.65
2001-05-24 19:45:00,24.525
2001-05-24 20:00:00,24.4
2001-05-24 20:15:00,24.299999999999997
2001-05-24 20:30:00,24.2
2001-05-24 20:45:00,24.1
2001-05-24 21:00:00,24.0
2001-05-24 21:15:00,23.925
2001-05-24 21:30:00,23.85
2001-05-24 21:45:00,23.775
2001-05-24 22:00:00,23.7
2001-05-24 22:15:00,23.6
2001-05-24 22:30:00,23.5
2001-05-24 22:45:00,23.4
2001-05-24 23:00:00,23.3
2001-05-24 23:15:00,23.299988554423717
2001-05-24 23:30:00,23.299977108847433
2001-05-24 23:45:00,23.299965663271145
2001-05-25 00:00:00,23.29995421769486
2001-05-25 00:15:00,23.299942772118577
2001-05-25 00:30:00,23.299931326542293
2001-05-25 00:45:00,23.29991988096601
2001-05-25 01:00:00,23.29990843538972
2001-05-25 01:15:00,23.299896989813437
2001-05-25 01:30:00,23.299885544237153
2001-05-25 01:45:00,23.29987409866087
2001-05-25 02:00:00,23.299862653084585
2001-05-25 02:15:00,23.299851207508297
2001-05-25 02:30:00,23.299839761932013
2001-05-25 02:45:00,23.29982831635573
2001-05-25 03:00:00,23.299816870779445
2001-05-25 03:15:00,23.29980542520316
2001-05-25 03:30:00,23.299793979626873
2001-05-25 03:45:00,23.29978253405059
2001-05-25 04:00:00,23.299771088474305
2001-05-25 04:15:00,23.29975964289802
2001-05-25 04:30:00,23.299748197321737
2001-05-25 04:45:00,23.299736751745453
2001-05-25 05:00:00,23.299725306169165
2001-05-25 05:15:00,23.29971386059288
2001-05-25 05:30:00,23.299702415016597
2001-05-25 05:45:00,23.299690969440313
2001-05-25 06:00:00,23.29967952386403
2001-05-25 06:15:00,23.29966807828774
2001-05-25 06:30:00,23.299656632711457
2001-05-25 06:45:00,23.299645187135173
2001-05-25 07:00:00,23.29963374155889
2001-05-25 07:15:00,23.299622295982605
2001-05-25 07:30:00,23.299610850406317
2001-05-25 07:45:00,23.299599404830033
2001-05-25 08:00:00,23.29958795925375
2001-05-25 08:15:00,23.299576513677465
2001-05-25 08:30:00,23.29956506810118
2001-05-25 08:45:00,23.299553622524893
2001-05-25 09:00:00,23.29954217694861
2001-05-25 09:15:00,23.299530731372325
2001-05-25 09:30:00,23.29951928579604
2001-05-25 09:45:00,23.299507840219757
2001-05-25 10:00:00,23.29949639464347
2001-05-25 10:15:00,23.299484949067185
2001-05-25 10:30:00,23.2994735034909
2001-05-25 10:45:00,23.299462057914617
2001-05-25 11:00:00,23.299450612338333
2001-05-25 11:15:00,23.299439166762046
2001-05-25 11:30:00,23.29942772118576
2001-05-25 11:45:00,23.299416275609477
2001-05-25 12:00:00,23.299404830033193
2001-05-25 12:15:00,23.29939338445691
2001-05-25 12:30:00,23.29938193888062
2001-05-25 12:45:00,23.299370493304338
2001-05-25 13:00:00,23.299359047728053
2001-05-25 13:15:00,23.29934760215177
2001-05-25 13:30:00,23.299336156575485
2001-05-25 13:45:00,23.2993247109992
2001-05-25 14:00:00,23.299313265422914
2001-05-25 14:15:00,23.29930181984663
2001-05-25 14:30:00,23.299290374270345
2001-05-25 14:45:00,23.29927892869406
2001-05-25 15:00:00,23.299267483117777
2001-05-25 15:15:00,23.29925603754149
2001-05-25 15:30:00,23.299244591965206
2001-05-25 15:45:00,23.29923314638892
2001-05-25 16:00:00,23.299221700812637
2001-05-25 16:15:00,23.299210255236353
2001-05-25 16:30:00,23.299198809660066
2001-05-25 16:45:00,23.29918736408378
2001-05-25 17:00:00,23.299175918507498
2001-05-25 17:15:00,23.299164472931214
2001-05-25 17:30:00,23.29915302735493
2001-05-25 17:45:00,23.299141581778642
2001-05-25 18:00:00,23.299130136202358
2001-05-25 18:15:00,23.299118690626074
2001-05-25 18:30:00,23.29910724504979
2001-05-25 18:45:00,23.299095799473506
2001-05-25 19:00:00,23.299084353897218
