reading,Delta_Change
22.5,0.0
23.1,0.6
22.8,-0.3
24.0,1.2
24.3,0.3
24.8,0.5
25.2,0.4
25.5,0.3
26.0,0.5
26.4,0.4
26.8,0.4
27.0,0.2
27.3,0.3
27.1,-0.2
26.9,-0.2
26.5,-0.4
26.1,-0.4
25.8,-0.3
25.3,-0.5
24.9,-0.4
24.4,-0.5
24.0,-0.4
23.7,-0.3
23.3,-0.4
22.9,-0.4
22.6,-0.3
22.4,-0.2
22.8,0.4
23.2,0.4
23.7,0.5
24.1,0.4
24.6,0.5
25.0,0.4
25.4,0.4
25.9,0.5
26.3,0.4
26.7,0.4
26.9,0.2
26.5,-0.4
26.2,-0.3
25.8,-0.4
25.4,-0.4
25.0,-0.4
24.7,-0.3
24.3,-0.4
24.0,-0.3
23.6,-0.4
23.2,-0.4
22.9,-0.3
22.5,-0.4
