reading,Delta_Change,Pressure,Vibration
22.5,0.0,101,0.20
23.1,0.6,102,0.22
22.8,-0.3,100,0.21
24.0,1.2,104,0.25
24.3,0.3,105,0.26
24.8,0.5,106,0.27
25.2,0.4,107,0.30
25.5,0.3,108,0.32
26.0,0.5,110,0.35
26.4,0.4,111,0.36
26.8,0.4,112,0.38
27.0,0.2,113,0.40
27.3,0.3,114,0.42
27.1,-0.2,113,0.41
26.9,-0.2,112,0.39
26.5,-0.4,111,0.37
26.1,-0.4,110,0.35
25.8,-0.3,109,0.34
25.3,-0.5,108,0.32
24.9,-0.4,107,0.30
24.4,-0.5,106,0.28
24.0,-0.4,105,0.26
23.7,-0.3,104,0.25
23.3,-0.4,103,0.24
22.9,-0.4,102,0.22
22.6,-0.3,101,0.21
22.4,-0.2,100,0.20
22.8,0.4,101,0.22
23.2,0.4,102,0.23
23.7,0.5,103,0.24
24.1,0.4,104,0.26
24.6,0.5,105,0.28
25.0,0.4,106,0.30
25.4,0.4,107,0.31
25.9,0.5,108,0.33
26.3,0.4,109,0.35
26.7,0.4,110,0.37
26.9,0.2,111,0.38
26.5,-0.4,110,0.36
26.2,-0.3,109,0.35
25.8,-0.4,108,0.33
25.4,-0.4,107,0.31
25.0,-0.4,106,0.29
24.7,-0.3,105,0.28
24.3,-0.4,104,0.26
24.0,-0.3,103,0.25
23.6,-0.4,102,0.23
23.2,-0.4,101,0.22
22.9,-0.3,100,0.21
22.5,-0.4,99,0.20
